Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,sell,other
2020-10-13,386.51,387.75,374.51,381.04,645141.91394,1602633599999,246276552.00902270,239460,315226.91813000,120349073.75065890,0
2020-10-14,381.05,387.41,373.13,378.69,569557.82936,1602719999999,216288026.95920860,214375,278390.33609000,105736024.77958970,0
2020-10-15,378.69,381.79,369.85,377.64,634038.09453,1602806399999,238396852.78392820,228454,308053.83962000,115864353.66265170,0
2020-10-16,377.63,379.83,361.18,365.5,654029.36404,1602892799999,241127894.70245080,255775,308695.25396000,113825303.52954540,0
2020-10-17,365.5,370.46,363.36,368.32,285578.24537,1602979199999,104838880.45610340,126045,139908.84552000,51365997.42640250,0
2020-10-18,368.31,378.64,367.1,378.11,323468.47095,1603065599999,120818450.62118030,133043,166936.80184000,62359187.49284320,0
2020-10-19,378.12,384.32,372.5,379.3,577252.90265,1603151999999,218372639.95702320,224887,281217.97666000,106363380.19858650,0
2020-10-20,379.3,380.73,365.27,368.52,617309.81677,1603238399999,229928443.79691000,251051,288156.13039000,107315894.51408450,0
2020-10-21,368.53,401.49,367.74,390.38,1221663.63784,1603324799999,472488832.71627450,450963,632070.29962000,244519977.28209820,0
2020-10-22,390.31,420.73,390.21,413.98,1095897.20667,1603411199999,447211002.50125880,412013,560444.09814000,228790705.50160170,0
2020-10-23,413.94,419.33,401.3,409.11,727832.3224,1603497599999,299943190.93063720,293671,353573.61208000,145754753.83309310,0
2020-10-24,409.19,416.66,407.0,412.14,419236.87106,1603583999999,172799824.64868200,182680,207090.61075000,85377261.16253270,0
2020-10-25,412.14,417.4,402.5,405.86,415586.9761,1603670399999,170054743.31874520,177854,192487.98412000,78807422.93383440,0
2020-10-26,405.85,411.11,382.3,392.52,895142.67266,1603756799999,356208480.58571190,329493,408392.37075000,162532499.76636610,0
2020-10-27,392.52,410.25,389.9,403.45,754244.37552,1603843199999,302522886.82653000,286217,373014.52987000,149645515.38216060,0
2020-10-28,403.41,409.2,380.52,388.23,855275.46882,1603929599999,335751199.30374730,348661,407244.62775000,159935755.11819610,0
2020-10-29,388.22,393.72,380.52,387.13,573096.01416,1604015999999,222669504.87531700,248649,283010.62488000,109967352.10618020,0
2020-10-30,387.12,391.97,373.29,382.49,771750.74746,1604102399999,294342545.98087450,289735,384404.74738000,146595612.99159130,0
2020-10-31,382.59,394.88,379.9,386.46,467453.8105,1604188799999,181136851.45374130,218528,238043.31120000,92253593.43786280,0
2020-11-01,386.44,398.29,384.61,396.67,438952.95565,1604275199999,171238317.70032390,181369,228285.69860000,89100829.28533770,0
2020-11-02,396.68,404.5,377.92,383.02,779968.57957,1604361599999,304223545.89203440,290370,382924.26079000,149479791.08400600,0
2020-11-03,383.01,390.0,370.23,387.88,752954.37114,1604447999999,286291773.96848450,280412,366506.41600000,139475874.91715260,0
2020-11-04,387.88,408.39,376.47,402.49,1157064.35076,1604534399999,454481208.40200980,392310,600951.59602000,236190448.28833480,0
2020-11-05,402.5,420.4,396.14,416.69,1475139.77342,1604620799999,601591250.40124900,513574,733696.12776000,299466668.01144860,0
2020-11-06,416.73,458.27,414.76,455.91,1682440.96026,1604707199999,736015135.62721030,666505,883105.68936000,386541087.43089730,0
2020-11-07,455.91,468.28,424.14,435.21,1653416.5961,1604793599999,743871175.78212340,674858,831369.37192000,374507765.44837650,0
2020-11-08,435.2,460.1,431.99,454.3,840908.46841,1604879999999,375679148.23503960,354341,424300.36519000,189644075.40081470,0
2020-11-09,454.29,459.1,433.09,444.32,1099213.24641,1604966399999,491928164.98124340,469947,523180.45111000,234223108.98942740,0
2020-11-10,444.32,455.0,438.7,450.34,866872.41108,1605052799999,388190148.20789510,384228,437244.02871000,195856348.18969540,0
2020-11-11,450.34,476.25,449.28,463.09,1205782.84262,1605139199999,559228791.89035090,560360,626267.49881000,290487786.95615110,0
2020-11-12,463.09,470.0,451.2,462.39,990776.62912,1605225599999,455971309.21685460,411840,471577.98126000,217115755.31874190,0
2020-11-13,462.48,478.01,457.12,476.43,976665.09752,1605311999999,456232937.20613030,427363,509344.22798000,238031863.05169850,0
2020-11-14,476.42,477.47,452.0,460.89,735252.7854,1605398399999,340142257.19369760,350772,347000.03929000,160634962.00481430,0
2020-11-15,460.9,462.89,440.19,448.08,665217.56671,1605484799999,301406126.45931180,311451,307609.56539000,139442342.07826170,0
2020-11-16,448.07,466.0,445.45,460.55,812060.44638,1605571199999,370889706.69923280,328762,407294.36897000,186016422.42729190,0
2020-11-17,460.51,484.88,459.8,482.15,1151573.37456,1605657599999,544239665.38175160,464336,591305.56754000,279583957.90483940,0
