Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,buy,other
2020-02-22,9677.05,9709.17,9560.02,9650.86,24636.757623,1582415999999,237544283.22525856,319961,13267.24651100,127929552.99759819,0
2020-02-23,9650.85,9990.0,9645.0,9936.4,37702.089843,1582502399999,371815095.46744496,441935,20035.25054900,197592792.86246950,0
2020-02-24,9936.4,9990.0,9473.56,9656.13,55796.59612,1582588799999,542081527.64083289,589384,26426.93064400,256859539.02050738,0
2020-02-25,9655.52,9675.0,9250.0,9315.84,54379.344552,1582675199999,514946930.56602305,579079,26318.93415800,249358678.88131346,0
2020-02-26,9316.48,9377.44,8633.63,8785.25,92130.345482,1582761599999,830717784.37909491,871018,41928.87480900,378197861.58165483,0
2020-02-27,8786.0,8971.77,8531.0,8823.21,72483.578762,1582847999999,636955872.76254629,696646,35410.01449200,311229361.68385182,0
2020-02-28,8823.25,8900.0,8445.0,8692.91,71155.208977,1582934399999,615664817.01039124,655727,35295.60613500,305533926.98473354,0
2020-02-29,8690.8,8790.0,8523.55,8523.61,36748.183035,1583020799999,318585951.98853237,414175,18916.85455900,164044036.86872094,0
2020-03-01,8523.61,8750.0,8411.0,8531.88,43892.201779,1583107199999,375729315.25408258,472019,21838.36886600,186962259.70689059,0
2020-03-02,8530.3,8965.75,8498.0,8915.24,60401.31773,1583193599999,528906629.56281918,564535,31213.08060200,273395227.94832437,0
2020-03-03,8911.18,8919.65,8651.0,8760.07,55154.997282,1583279999999,484181096.32295575,512762,26954.22974500,236655810.14459231,0
2020-03-04,8760.07,8848.29,8660.0,8750.87,38696.482578,1583366399999,338849891.95293542,454817,19279.33119000,168832874.50723547,0
2020-03-05,8750.99,9159.42,8746.54,9054.68,58201.866355,1583452799999,524102029.20478296,619552,30482.08217100,274387102.91088936,0
2020-03-06,9054.64,9170.0,8985.5,9131.88,43782.948044,1583539199999,397598476.42056292,493216,22296.56050600,202484342.22117205,0
2020-03-07,9130.89,9188.0,8835.0,8886.66,45422.204525,1583625599999,409983263.78913797,485400,22281.71585500,201161181.30473225,0
